models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+cnn+gru+lgbm+logreg+lstm+rf+xgb,8,0.593814,0.355556,0.444788,0.536876,576,394,1091,1044
cnn+gru+lgbm+logreg+xgb+cnn_lstm,6,0.59375,0.281481,0.38191,0.524638,456,312,1173,1164
catboost+lgbm+lstm+cnn_lstm,4,0.593654,0.358025,0.446669,0.537198,580,397,1088,1040
catboost+cnn+gru+lgbm+rf,5,0.593555,0.352469,0.442293,0.536232,571,391,1094,1049
catboost+cnn+gru+lgbm+rf+tcn,6,0.593555,0.352469,0.442293,0.536232,571,391,1094,1049
gru+lstm+xgb,3,0.59354,0.272222,0.373254,0.523027,441,302,1183,1179
gru+lstm+tcn+xgb,4,0.59354,0.272222,0.373254,0.523027,441,302,1183,1179
cnn+gru+lgbm+logreg+lstm+cnn_lstm,6,0.593505,0.32716,0.421807,0.532045,530,363,1122,1090
catboost+gru+lgbm+lstm+cnn_lstm,5,0.593463,0.358642,0.447095,0.537198,581,398,1087,1039
catboost+gru+lgbm+lstm+tcn+cnn_lstm,6,0.593463,0.358642,0.447095,0.537198,581,398,1087,1039
catboost+gru+lgbm+xgb+cnn_lstm,5,0.593431,0.323457,0.418698,0.531401,524,359,1126,1096
catboost+gru+lgbm+tcn+xgb+cnn_lstm,6,0.593431,0.323457,0.418698,0.531401,524,359,1126,1096
cnn+gru+lgbm+lstm,4,0.593277,0.217901,0.318736,0.51401,353,242,1243,1267
gru+lgbm+logreg+lstm+xgb,5,0.59322,0.345679,0.436817,0.534944,560,384,1101,1060
gru+lgbm+logreg+lstm+tcn+xgb,6,0.59322,0.345679,0.436817,0.534944,560,384,1101,1060
catboost+cnn+gru+lstm+rf+xgb,6,0.593064,0.316667,0.412877,0.530113,513,352,1133,1107
catboost+cnn+gru+rf+xgb+cnn_lstm,6,0.592965,0.291358,0.390728,0.525926,472,324,1161,1148
catboost+cnn+lgbm+lstm+rf+xgb,6,0.592885,0.37037,0.455927,0.538808,600,412,1073,1020
cnn+gru+lgbm+xgb,4,0.592885,0.185185,0.28222,0.508535,300,206,1279,1320
catboost+lstm,2,0.59267,0.349383,0.439612,0.535266,566,389,1096,1054
catboost+cnn+lgbm+lstm+xgb+cnn_lstm,6,0.592662,0.388889,0.469624,0.541707,630,433,1052,990
cnn+gru+logreg+lstm,4,0.592638,0.298148,0.396715,0.526892,483,332,1153,1137
catboost+cnn+gru+lgbm+lstm+xgb+cnn_lstm,7,0.592488,0.389506,0.470019,0.541707,631,434,1051,989
catboost+cnn+gru+lgbm+lstm+tcn+xgb+cnn_lstm,8,0.592488,0.389506,0.470019,0.541707,631,434,1051,989
xgb+cnn_lstm,2,0.592466,0.21358,0.313975,0.513043,346,238,1247,1274
lgbm+logreg+rf+cnn_lstm,4,0.592316,0.342593,0.434102,0.533977,555,382,1103,1065
catboost+cnn+gru+lgbm+lstm+rf+xgb,7,0.5923,0.37037,0.455754,0.538486,600,413,1072,1020
catboost+cnn+gru+lgbm+lstm+rf+tcn+xgb,8,0.5923,0.37037,0.455754,0.538486,600,413,1072,1020
gru+lgbm+lstm+xgb,4,0.592267,0.208025,0.307903,0.512077,337,232,1253,1283
catboost+gru+lgbm+xgb,4,0.591906,0.216667,0.317216,0.513366,351,242,1243,1269
catboost+gru+lstm,3,0.591858,0.35,0.439876,0.534944,567,391,1094,1053
catboost+gru+lstm+tcn,4,0.591858,0.35,0.439876,0.534944,567,391,1094,1053
gru+xgb+cnn_lstm,3,0.591837,0.214815,0.315217,0.513043,348,240,1245,1272
gru+tcn+xgb+cnn_lstm,4,0.591837,0.214815,0.315217,0.513043,348,240,1245,1272
gru+lgbm+logreg+rf+cnn_lstm,5,0.591684,0.342593,0.433933,0.533655,555,383,1102,1065
gru+lgbm+logreg+rf+tcn+cnn_lstm,6,0.591684,0.342593,0.433933,0.533655,555,383,1102,1065
catboost+lgbm+logreg+rf+xgb+cnn_lstm,6,0.591378,0.389506,0.469669,0.541063,631,436,1049,989
catboost+gru+lgbm+logreg+rf+xgb+cnn_lstm,7,0.591378,0.389506,0.469669,0.541063,631,436,1049,989
catboost+gru+lgbm+logreg+rf+tcn+xgb+cnn_lstm,8,0.591378,0.389506,0.469669,0.541063,631,436,1049,989
catboost+lgbm+rf+xgb+cnn_lstm,5,0.591273,0.409877,0.484141,0.544283,664,459,1026,956
catboost+lgbm+rf+tcn+xgb+cnn_lstm,6,0.591273,0.409877,0.484141,0.544283,664,459,1026,956
catboost+cnn+gru+lgbm+logreg+rf+xgb+cnn_lstm,8,0.591195,0.348148,0.438228,0.5343,564,390,1095,1056
lgbm+logreg+lstm+rf,4,0.590909,0.353086,0.44204,0.534944,572,396,1089,1048
catboost+cnn+lgbm+rf+xgb+cnn_lstm,6,0.590772,0.36358,0.450134,0.536554,589,408,1077,1031
catboost+gru+lgbm+rf+tcn+xgb+cnn_lstm,7,0.590747,0.409877,0.483965,0.543961,664,460,1025,956
cnn+gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,8,0.590708,0.32963,0.423138,0.531079,534,370,1115,1086
catboost+cnn+gru+lgbm+rf+xgb,6,0.590392,0.288272,0.387391,0.524316,467,324,1161,1153
lgbm+lstm+rf+xgb+cnn_lstm,5,0.590361,0.39321,0.472027,0.541063,637,442,1043,983
lgbm+lstm+rf+tcn+xgb+cnn_lstm,6,0.590361,0.39321,0.472027,0.541063,637,442,1043,983
gru+lgbm+logreg+lstm+rf,5,0.590299,0.353086,0.441869,0.534622,572,397,1088,1048
gru+lgbm+logreg+lstm+rf+tcn,6,0.590299,0.353086,0.441869,0.534622,572,397,1088,1048
gru+lgbm+lstm+rf+tcn+xgb+cnn_lstm,7,0.590194,0.393827,0.472418,0.541063,638,443,1042,982
catboost+cnn+gru+lgbm+rf+xgb+cnn_lstm,7,0.59018,0.36358,0.449962,0.536232,589,409,1076,1031
catboost+cnn+gru+lgbm+rf+tcn+xgb+cnn_lstm,8,0.59018,0.36358,0.449962,0.536232,589,409,1076,1031
cnn+gru+rf+xgb,4,0.590051,0.212346,0.312301,0.512077,344,239,1246,1276
cnn+rf,2,0.590013,0.27716,0.377152,0.522383,449,312,1173,1171
catboost+cnn+gru+logreg+lstm+cnn_lstm,6,0.589962,0.384568,0.46562,0.539452,623,433,1052,997
cnn+gru+xgb+cnn_lstm,4,0.589958,0.174074,0.268827,0.505958,282,196,1289,1338
catboost+lgbm+lstm+xgb+cnn_lstm,5,0.589765,0.433951,0.5,0.547182,703,489,996,917
catboost+lgbm+lstm+tcn+xgb+cnn_lstm,6,0.589765,0.433951,0.5,0.547182,703,489,996,917
cnn+gru+logreg+lstm+rf+cnn_lstm,6,0.589659,0.330864,0.423883,0.530757,536,373,1112,1084
lgbm+logreg,2,0.589617,0.294444,0.392754,0.52496,477,332,1153,1143
catboost+gru+lgbm+lstm+tcn+xgb+cnn_lstm,7,0.589615,0.434568,0.500355,0.547182,704,490,995,916
gru+lgbm+logreg,3,0.589396,0.295062,0.393254,0.52496,478,333,1152,1142
gru+lgbm+logreg+tcn,4,0.589396,0.295062,0.393254,0.52496,478,333,1152,1142
catboost+cnn+gru+logreg+xgb+cnn_lstm,6,0.589249,0.358642,0.445894,0.534944,581,405,1080,1039
catboost+lgbm+logreg+lstm+rf+cnn_lstm,6,0.589238,0.405556,0.480439,0.542351,657,458,1027,963
logreg+lstm+xgb+cnn_lstm,4,0.589169,0.389506,0.468971,0.539775,631,440,1045,989
gru+lgbm+logreg+rf+xgb+cnn_lstm,6,0.589023,0.271605,0.371779,0.521095,440,307,1178,1180
cnn+gru+rf,3,0.589005,0.277778,0.377517,0.522061,450,314,1171,1170
cnn+gru+rf+tcn,4,0.589005,0.277778,0.377517,0.522061,450,314,1171,1170
catboost+gru+lgbm+logreg+lstm+rf+cnn_lstm,7,0.58871,0.405556,0.480263,0.542029,657,459,1026,963
catboost+gru+lgbm+logreg+lstm+rf+tcn+cnn_lstm,8,0.58871,0.405556,0.480263,0.542029,657,459,1026,963
cnn+gru+logreg+rf+xgb+cnn_lstm,6,0.588529,0.291358,0.389761,0.523994,472,330,1155,1148
catboost+cnn+lstm+rf+xgb+cnn_lstm,6,0.588508,0.391975,0.470545,0.539775,635,444,1041,985
gru+logreg+lstm+xgb+cnn_lstm,5,0.588454,0.390123,0.469191,0.539452,632,442,1043,988
gru+logreg+lstm+tcn+xgb+cnn_lstm,6,0.588454,0.390123,0.469191,0.539452,632,442,1043,988
catboost+lgbm+logreg+xgb,4,0.588179,0.380864,0.462345,0.537842,617,432,1053,1003
catboost+gru+lgbm+logreg+xgb,5,0.588179,0.380864,0.462345,0.537842,617,432,1053,1003
catboost+gru+lgbm+logreg+tcn+xgb,6,0.588179,0.380864,0.462345,0.537842,617,432,1053,1003
catboost+cnn+lgbm+logreg+lstm+rf+xgb+cnn_lstm,8,0.588133,0.416049,0.487346,0.543317,674,472,1013,946
catboost+cnn+lgbm+xgb,4,0.587924,0.342593,0.432917,0.531723,555,389,1096,1065
catboost+cnn+gru+logreg+lstm+rf+xgb+cnn_lstm,8,0.587838,0.375926,0.458584,0.536876,609,427,1058,1011
catboost+cnn+gru+lstm+rf+xgb+cnn_lstm,7,0.5878,0.392593,0.470762,0.539452,636,446,1039,984
catboost+cnn+gru+lstm+rf+tcn+xgb+cnn_lstm,8,0.5878,0.392593,0.470762,0.539452,636,446,1039,984
gru+lgbm+lstm,3,0.587776,0.279012,0.378401,0.521739,452,317,1168,1168
gru+lgbm+lstm+tcn,4,0.587776,0.279012,0.378401,0.521739,452,317,1168,1168
catboost+cnn+gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,9,0.58762,0.416049,0.48717,0.542995,674,473,1012,946
