models,n_models,precision,recall,f1,accuracy,tp,fp,tn,fn
catboost+gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,8,0.592941,0.311111,0.408097,0.529147,504,346,1139,1116
catboost+gru+lgbm+logreg+xgb,5,0.592932,0.27963,0.380034,0.523994,453,311,1174,1167
cnn+gru+lgbm+xgb,4,0.59292,0.248148,0.349869,0.518841,402,276,1209,1218
catboost+gru+logreg+lstm+rf+cnn_lstm,6,0.592637,0.308025,0.405361,0.528502,499,343,1142,1121
catboost+gru+lstm+cnn_lstm,4,0.592593,0.177778,0.273504,0.507246,288,198,1287,1332
catboost+gru+lgbm+logreg+tcn+cnn_lstm,6,0.592539,0.254938,0.356495,0.519807,413,284,1201,1207
catboost+gru+logreg+lstm+rf+tcn+cnn_lstm,7,0.592462,0.310494,0.407452,0.528824,503,346,1139,1117
catboost+gru+lgbm+logreg+lstm+xgb,6,0.592405,0.288889,0.388382,0.525282,468,322,1163,1152
cnn+gru+rf+tcn+xgb+cnn_lstm,6,0.592357,0.287037,0.386694,0.52496,465,320,1165,1155
catboost+gru+lgbm+tcn+xgb+cnn_lstm,6,0.592308,0.237654,0.339207,0.516908,385,265,1220,1235
gru+logreg+lstm+xgb,4,0.592179,0.261728,0.363014,0.520773,424,292,1193,1196
catboost+gru+lgbm+logreg+lstm+rf,6,0.592089,0.295679,0.394401,0.526248,479,330,1155,1141
cnn+gru+lgbm+logreg+lstm+rf+xgb,7,0.592045,0.321605,0.4168,0.530435,521,359,1126,1099
catboost+gru+lgbm+logreg+lstm+rf+tcn+xgb+cnn_lstm,9,0.592028,0.311728,0.408411,0.528824,505,348,1137,1115
catboost+cnn+gru+lgbm+lstm+rf,6,0.59201,0.301852,0.399836,0.527214,489,337,1148,1131
catboost+gru+lgbm+xgb+cnn_lstm,5,0.5919,0.234568,0.335986,0.516264,380,262,1223,1240
cnn+gru+lgbm+logreg+lstm+xgb,6,0.591813,0.312346,0.408889,0.528824,506,349,1136,1114
catboost+gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,8,0.591787,0.302469,0.400327,0.527214,490,338,1147,1130
cnn+gru+lgbm+lstm+rf+tcn+xgb,7,0.59176,0.292593,0.391574,0.525604,474,327,1158,1146
gru+lgbm+lstm+rf+tcn+xgb,6,0.59175,0.25679,0.358158,0.519807,416,287,1198,1204
catboost+gru+lgbm+logreg+lstm+xgb+cnn_lstm,7,0.591738,0.300617,0.39869,0.526892,487,336,1149,1133
catboost+cnn+gru+lgbm+lstm+xgb,6,0.591709,0.290741,0.389901,0.525282,471,325,1160,1149
catboost+gru+lgbm+logreg+lstm+tcn+xgb,7,0.591709,0.290741,0.389901,0.525282,471,325,1160,1149
gru+logreg+tcn+xgb,4,0.591592,0.24321,0.344707,0.517552,394,272,1213,1226
cnn+gru+lgbm+logreg+lstm+rf+xgb+cnn_lstm,8,0.591565,0.329012,0.422848,0.531401,533,368,1117,1087
catboost+gru+cnn_lstm,3,0.591549,0.103704,0.176471,0.495008,168,116,1369,1452
catboost+gru+lgbm+logreg+rf+xgb,6,0.591515,0.301235,0.399182,0.526892,488,337,1148,1132
cnn+gru+lstm+rf+tcn+xgb,6,0.591425,0.289506,0.388728,0.52496,469,324,1161,1151
catboost+cnn+gru+lgbm+tcn+xgb+cnn_lstm,7,0.591425,0.289506,0.388728,0.52496,469,324,1161,1151
catboost+gru+logreg+rf+tcn+cnn_lstm,6,0.591411,0.297531,0.395893,0.526248,482,333,1152,1138
catboost+gru+logreg+rf+cnn_lstm,5,0.591304,0.293827,0.392577,0.525604,476,329,1156,1144
cnn+gru+xgb+cnn_lstm,4,0.591231,0.258025,0.359261,0.519807,418,289,1196,1202
cnn+gru+lgbm+logreg+lstm+rf+tcn+xgb,8,0.591166,0.322222,0.417099,0.530113,522,361,1124,1098
gru+logreg+lstm+tcn+xgb,5,0.59116,0.264198,0.365188,0.520773,428,296,1189,1192
gru+lgbm+lstm+tcn+xgb+cnn_lstm,6,0.591125,0.230247,0.331408,0.515298,373,258,1227,1247
catboost+cnn+gru+lgbm+logreg+lstm+xgb,7,0.591111,0.328395,0.422222,0.531079,532,368,1117,1088
catboost+cnn+gru+lstm+tcn+xgb,6,0.591026,0.284568,0.384167,0.523994,461,319,1166,1159
gru+lgbm+logreg+xgb+cnn_lstm,5,0.590973,0.258642,0.359811,0.519807,419,290,1195,1201
catboost+gru+tcn+xgb,4,0.590674,0.211111,0.31105,0.512077,342,237,1248,1278
catboost+gru+lgbm+logreg+tcn+xgb+cnn_lstm,7,0.590621,0.287654,0.386883,0.524316,466,323,1162,1154
catboost+cnn+gru+lgbm+logreg+lstm+tcn+xgb+cnn_lstm,9,0.590618,0.341975,0.433151,0.533011,554,384,1101,1066
catboost+gru+lgbm+logreg+xgb+cnn_lstm,6,0.590501,0.283951,0.383493,0.523671,460,319,1166,1160
cnn+gru+lgbm+logreg+lstm+xgb+cnn_lstm,7,0.590444,0.32037,0.415366,0.529469,519,360,1125,1101
catboost+cnn+gru+lgbm+lstm+rf+xgb,7,0.590419,0.304321,0.401629,0.526892,493,342,1143,1127
