number,value,datetime_start,datetime_complete,duration,params_act,params_arch,params_batch,params_conv_blocks,params_conv_drop,params_dense,params_dropout,params_filters,params_kernel,params_l2,params_lr,params_lstm_drop,params_optim,params_pool,params_units,params_window,user_attrs_precision,user_attrs_recall,state
20,0.8063153624534607,2025-06-11 10:51:52.011056,2025-06-11 10:51:58.680042,0 days 00:00:06.668986,relu,conv_lstm,64,1,0.0533355170426924,128,0.38214923273741597,64,4,0.0008171378608919813,0.00024345827204114455,0.02101906433537764,adam,gmp,128,54,,,PRUNED
21,0.6897825002670288,2025-06-11 10:51:59.343042,2025-06-11 10:52:04.086032,0 days 00:00:04.742990,elu,conv_lstm,64,2,0.20847147234781624,128,0.34978284019778383,64,2,2.2074304992915234e-06,0.00024276667862700396,0.09945528652485466,adam,gmp,32,54,,,PRUNED
22,0.7033195495605469,2025-06-11 10:52:04.754031,2025-06-11 10:52:09.025447,0 days 00:00:04.271416,elu,conv_lstm,128,2,0.23360141255859057,32,0.25338810044194165,64,2,3.679699934515438e-05,0.0006260556071931308,0.09890509137526222,adamw,gmp,32,60,,,PRUNED
23,0.6901470422744751,2025-06-11 10:52:09.703050,2025-06-11 10:52:14.785040,0 days 00:00:05.081990,elu,lstm_conv,128,1,0.22359795505337876,32,0.343459697555215,96,2,5.849204002678381e-06,0.00010005276836858527,0.06285818081978567,adamw,gmp,64,72,,,PRUNED
24,0.7648173570632935,2025-06-11 10:52:15.495039,2025-06-11 10:52:23.863150,0 days 00:00:08.368111,relu,lstm_conv,64,1,0.07666985094716736,128,0.3501937886533361,32,7,0.000837036827582879,0.0003200584942488318,0.012750104203544398,nadam,gmp,128,72,,,PRUNED
25,0.6951412558555603,2025-06-11 10:52:24.557149,2025-06-11 10:52:34.436758,0 days 00:00:09.879609,elu,conv_lstm,16,2,0.22474970798742222,32,0.3792495590073476,96,3,2.353540901110792e-05,0.00016192603551548138,0.2547679001617765,adamw,gmp,32,66,,,PRUNED
26,0.6896439790725708,2025-06-11 10:52:35.142758,2025-06-11 10:52:41.829744,0 days 00:00:06.686986,relu,conv_lstm,128,2,0.2572242172730228,32,0.33203410989802984,128,2,1.9592986553036822e-05,7.365583487845066e-05,0.07054146410437584,adamw,gmp,128,48,,,PRUNED
27,0.689822793006897,2025-06-11 10:52:42.542743,2025-06-11 10:52:46.979352,0 days 00:00:04.436609,elu,conv_lstm,128,1,0.24433974065746455,64,0.38576794535859826,128,3,1.0066290386308108e-05,0.00011834828027285997,0.11843806779244581,adamw,gap,64,42,,,PRUNED
28,0.8275194764137268,2025-06-11 10:52:47.700351,2025-06-11 10:52:55.888170,0 days 00:00:08.187819,relu,lstm_conv,64,1,0.017122530604972777,32,0.12722950275496603,128,4,0.0006497599206928037,0.0003128669869349729,0.002346104039133188,nadam,gmp,128,60,,,PRUNED
29,-0.48534132249090534,2025-06-11 10:52:56.619170,2025-06-11 10:54:50.386017,0 days 00:01:53.766847,elu,lstm_conv,128,1,0.22754003777878917,32,0.38484877250659877,64,4,1.819285810892811e-05,8.460833518022366e-05,0.15940702946381022,nadam,gmp,96,60,0.5290412876137159,0.46609124537607893,COMPLETE
30,0.7189043760299683,2025-06-11 10:54:51.186524,2025-06-11 10:55:12.858963,0 days 00:00:21.672439,relu,lstm_conv,16,1,0.14940944993074204,32,0.24534929741864608,64,6,0.0003327475077737618,0.00016659779552776857,0.028058454708172274,nadam,gap,128,60,,,PRUNED
31,0.6890538930892944,2025-06-11 10:55:13.709963,2025-06-11 10:55:23.627542,0 days 00:00:09.917579,relu,lstm_conv,128,1,0.24954099554432171,32,0.31935550318880346,96,5,8.285418038449729e-06,0.00014730468917630295,0.1351618425265101,nadam,gmp,96,42,,,PRUNED
32,0.6892015933990479,2025-06-11 10:55:24.408542,2025-06-11 10:55:39.389821,0 days 00:00:14.981279,elu,lstm_conv,128,1,0.19698817014456924,32,0.34898470155952077,64,5,2.052861756629761e-05,0.00010570947575189881,0.13155685229492342,nadam,gmp,128,60,,,PRUNED
33,0.9116784334182739,2025-06-11 10:55:40.186819,2025-06-11 10:55:52.226922,0 days 00:00:12.040103,elu,lstm_conv,64,1,0.09780530276747396,64,0.23014975301355006,64,7,0.000841243432062564,0.00038899215844579344,0.05128325925450511,nadam,gmp,96,54,,,PRUNED
34,0.7110594511032104,2025-06-11 10:55:52.973922,2025-06-11 10:56:04.775456,0 days 00:00:11.801534,elu,lstm_conv,64,1,0.18990146909926017,32,0.3726522783765958,64,2,0.00011330489764304161,6.398884802106415e-05,0.1977456198250093,nadam,gmp,96,60,,,PRUNED
