,DNN:dnn_grad,DNN:dnn_perm,LightGBM:lgb_split,LightGBM:lgb_gain,LightGBM:lgb_perm,LightGBM:lgb_shap,LogReg_L1:lr_l1_coef,LogReg_L1:lr_l1_perm,LogReg_L2:lr_l2_coef,LogReg_L2:lr_l2_perm,RandomForest:rf_gini,RandomForest:rf_perm,RandomForest:rf_shap,XGBoost:xgb_weight,XGBoost:xgb_gain,XGBoost:xgb_cover,XGBoost:xgb_perm,XGBoost:xgb_shap
volatility_regime,0.011010065,0.0024131536483764,12,62.77302491664887,0.0004826254826254,0.003060565274035,0.0,0.0,0.0012910743700892,-0.0003217503217503,0.0026332988335072,0.0006435006435006,0.0003073672314499,0.0,0.0,0.0,0.0009652509652509,0.005370785
fear_greed_score,0.008582127,-0.0072393417358398,448,2154.6646776497364,0.0107786357786358,0.0906277681174192,0.0352284773415932,0.0049871299871299,0.0372146182788336,0.003056628056628,0.0412610849356763,0.0012870012870012,0.0072342301620162,0.0,0.0,0.0,0.0074002574002574,0.10568265
roc_4h,0.019610513,0.0043436288833618,388,1962.1931647360325,0.0249356499356499,0.1203684432550841,0.0898812286897759,0.010135135135135,0.0910208677348727,0.0051480051480052,0.0467648869107131,0.0094916344916344,0.0085218998287831,0.0,0.0,0.0,0.0077220077220077,0.1358777
roc_24h,0.014801129,0.0048262476921081,430,2113.917671263218,0.0072393822393822,0.0954396112685215,0.0896210837874925,-3.7007434154171876e-17,0.0937176751938007,-0.0024131274131273,0.0392930479728603,0.0032175032175031,0.0026835086332016,0.0,0.0,0.0,0.0053088803088802,0.09182801
bb_position,0.009853814,0.0,341,1492.51863566041,0.0008043758043758,0.0701922413476221,0.0734721470488536,-0.0020913770913771,0.0841773547058492,-0.0057915057915057,0.0394250327604747,0.001126126126126,0.0054535806022155,0.0,0.0,0.0,-0.0025740025740025,0.07418584
near_upper_band,0.008500098,-0.0024130940437316,2,7.6173999309539795,0.0,0.0003279716467482,0.0079672951270776,-0.0003217503217503,0.0077022218671491,0.0012870012870013,0.0014725587336544,0.0027348777348776,0.0009227583793219,0.0,0.0,0.0,0.0001608751608751,0.0004745822
near_lower_band,0.007524426,0.0,0,0.0,0.0,0.0,0.0381718857329392,0.0078828828828828,0.0418759232265707,0.0067567567567568,0.0027385166367037,-0.0003217503217503,0.0011109207213697,0.0,0.0,0.0,-0.0001608751608751,0.0008801554
break_upper_band,0.0112329265,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
break_lower_band,0.006608127,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rsi_overbought,0.007166902,-0.002895712852478,2,12.01476001739502,0.0,0.0008236580504179,0.015929300892824,-0.0003217503217503,0.0165842513509371,-0.0004826254826254,0.0013321636655135,0.0003217503217503,0.0001056596810754,0.0,0.0,0.0,0.0006435006435006,0.0051043653
rsi_oversold,0.007497313,0.0014479160308837,0,0.0,0.0,0.0,0.0027910654928002,-0.0006435006435006,0.0050655257624334,-0.0003217503217503,0.0010306777964759,0.0001608751608751,0.0001448194869187,0.0,0.0,0.0,-0.0008043758043758,0.003806308
above_sma20,0.007849619,-0.0004826188087463,0,0.0,0.0,0.0,0.0766472082448333,0.0207528957528957,0.0833207691856798,0.0165701415701416,0.0032041502849631,0.0032175032175031,0.0020153494455686,0.0,0.0,0.0,-0.0011261261261261,0.0050203307
above_sma50,0.010496155,-0.0004826188087463,21,90.64860939979552,0.0004826254826255,0.0081308374824802,0.0064038234571452,-0.000965250965251,0.0057465494567585,0.0003217503217503,0.0023169735963583,-0.0003217503217503,0.0004673549981389,0.0,0.0,0.0,-0.0006435006435006,0.0041812416
ema7_above_ema21,0.015448233,-0.0048262476921081,10,39.94141006469727,-0.0014478764478764,0.0033784558656033,0.0256945293032607,0.0027348777348776,0.0316987595416694,0.0014478764478764,0.002586449313422,-0.0008043758043758,0.0003992083995023,0.0,0.0,0.0,-0.0009652509652509,0.011141382
ema_cross_up,0.006497428,0.0014479160308837,3,13.782020092010498,0.0009652509652509,0.0007220017658389,0.0014158539139009,-3.7007434154171876e-17,0.0013069863640143,-0.0006435006435006,0.0008768456921363,-0.0003217503217503,3.68716263868947e-05,0.0,0.0,0.0,0.0,0.0013564493
ema_cross_down,0.007372397,-0.0024130940437316,3,6.807139992713928,0.0003217503217503,0.0009003858207513,0.0005863158163927,-0.0001608751608751,0.002014983118677,-0.0004826254826254,0.0009078112521803,-0.0012870012870013,9.179449580894689e-05,0.0,0.0,0.0,-0.0003217503217503,0.0015632325
macd_cross_up,0.009589221,0.0,3,11.060500144958496,0.0004826254826254,0.0013513141127385,0.0003584028710569,0.0,0.0012407184839416,0.0006435006435007,0.0014337345312395,-0.000965250965251,7.159423648551562e-05,0.0,0.0,0.0,0.0001608751608751,0.00176884
macd_cross_down,0.0085804565,0.0009652972221374,5,15.425860047340391,3.7007434154171876e-17,0.0042876904190374,0.0213810008948927,0.0014478764478763,0.0229849539553594,-0.0014478764478764,0.0012999633242482,-0.0006435006435007,0.0002019997788995,0.0,0.0,0.0,-0.002091377091377,0.0037731421
